measure,value
N,633.0
mean_2input,0.6053011461819229
mean_3input,0.8042149885587506
correlation,0.683703599585765
p_value_corr,2.1510600697209687e-88
LR_stat,53.793800121472316
LR_p,2.227107387398064e-13
capital_coef,0.052486954245178546
