model,logL,sigma2,lambda,gamma
"Translog (Table 3, PREFERRED)",-453.2255367430554,0.16222850380465545,1.06992632669262,0.533743527495918
Cobb-Douglas (S1),-461.06001893908535,0.17081651605790957,1.1579468025584077,0.572803070997227
Panel+trend (S2),-308.1228574628392,0.1669069379069538,1.6007236412309631,0.7192837607030281
