variable,coef,bootstrap_se,bootstrap_p
Intercept,0.4904725506750731,0.018275544318516065,0.0
Cattle(1000 head),-0.0072211939822184445,0.0006963630915484291,0.0
Fodder(100ha),0.0005910979824286081,6.998934082683409e-05,0.0
Cost(AZN/centner),-0.00023765338872574343,0.00025838744794787064,0.3577003153387297
Profitability(%),-0.00014760647594546302,0.00010004079008036976,0.14008813095656514
