check,DiD,SE,p_value
"Baseline (control-frontier, clustered)",0.11560411479538307,0.11153064479505786,0.3001331817019399
Excluding 2024,0.15010561547079548,0.10967867267594177,0.17135063735229616
Excluding Aghdam,0.13646472216331762,0.12351740253867635,0.2694225271390609
