region,region_type,year,cost_price_per_centner_milk_enterprises_manat,cost_price_per_centner_milk_private_manat,cows_dairy_buffaloes_stock_heads,cows_heads,fodder_sown_area_ha,labour_hours_per_centner_milk_enterprises,milk_production_tons,profitability_milk_enterprises_pct,profitability_milk_private_pct,selling_price_per_centner_milk_enterprises_manat,selling_price_per_centner_milk_private_manat,vrs_raw,crs_raw,vrs_bc,crs_bc,vrs_bootstrap_degenerate_draws,crs_bootstrap_degenerate_draws,scale_eff_raw,cost_milk,profitability,cattle_per1000,fodder_per100
Guba district,district,2009,34.8,,26400.0,26008.0,386.0,48.0,34648.0,10.3,,37.49,,0.8088808505392872,0.6458702707256883,0.4131448117538445,0.4589459379630445,0,0,0.7984739288797373,34.8,10.3,26.008,3.86
Gusar district,district,2009,28.59,,18566.0,18489.0,3045.0,48.0,23950.0,3.1,,29.59,,0.425661268051842,0.4227592406831807,0.3583160099884127,0.3664209580876754,0,0,0.9931823081250892,28.59,3.1,18.489,30.45
Hajigabul district,district,2009,,17.4,14390.0,12989.0,2052.0,,12681.0,,45.9,,42.31,0.3283433768458963,0.3186242305113193,0.2972889894674688,0.2743676772758191,0,0,0.9703994445450972,17.4,45.9,12.989,20.52
Imishli district,district,2009,46.66,42.79,36660.0,31210.0,18489.0,46.4,40932.0,7.2,16.9,50.0,50.0,0.5835295735093567,0.4280260592294197,0.4784581157646613,0.4028204883410847,0,0,0.7335121965717414,46.66,7.2,31.21,184.89
Ismayilli district,district,2009,26.6,24.97,23715.0,22842.0,1265.0,48.0,23491.0,3.8,51.0,28.02,50.0,0.3381143098955248,0.33563588785718,0.2297131255203784,0.2369517985902475,0,0,0.9926698694322916,26.6,3.8,22.842,12.65
Kalbajar district,district,2009,,25.27,11922.0,11444.0,499.0,48.0,8837.0,,2.9,,36.0,0.2837528703179418,0.2667522627357636,0.2140604799235055,0.1846311892097014,0,0,0.9400865705318532,25.27,2.9,11.444,4.99
Khachmaz district,district,2009,20.51,18.07,26129.0,24847.0,5815.0,48.0,36511.0,17.2,66.1,28.55,30.27,0.5750869349658172,0.4795686466104405,0.3868930334406342,0.4289396731082574,0,0,0.8339063495486048,20.51,17.2,24.847,58.15
Kurdamir district,district,2009,28.98,25.0,30770.0,24726.0,15727.0,48.0,24446.0,158.4,39.5,74.91,34.88,0.3247080971838966,0.3226673010294438,0.2952388714990667,0.3040911956564673,0,0,0.9937149822497436,28.98,158.4,24.726,157.27
Lachin district,district,2009,,28.96,14210.0,11798.0,2123.0,48.0,11907.0,-6.3,10.1,32.42,32.07,0.3405011551210065,0.329378293907795,0.312936762217872,0.288372681424991,0,0,0.9673338517478492,28.96,-6.3,11.798,21.23
Lankaran district,district,2009,31.64,31.0,21204.0,20630.0,432.0,48.0,26410.0,3.6,15.0,34.33,36.55,0.6496445780308968,0.5717353054216449,0.443995093382078,0.4170220056005236,0,0,0.8800740047036202,31.64,3.6,20.63,4.32
Lerik district,district,2009,24.68,30.94,16585.0,16411.0,407.0,48.0,13776.0,22.2,,36.67,,0.3593218101668379,0.35708813993349,0.2564097436463901,0.2609429414212712,0,0,0.9937836497252676,24.68,22.2,16.411,4.07
Masalli district,district,2009,,15.22,35476.0,33614.0,583.0,48.0,44185.0,25.0,53.5,20.83,21.55,0.9750762327041804,0.6156677133104664,0.3630894922028014,0.4443578247136671,2,0,0.6314046970492084,15.22,25.0,33.614,5.83
Neftchala district,district,2009,26.0,18.58,19113.0,17547.0,11131.0,49.0,20000.0,27.2,40.0,35.52,35.0,0.3764951256750232,0.3719873176158718,0.3522577289960906,0.3505571342428813,0,0,0.9880269152195018,26.0,27.2,17.547,111.31
Oghuz district,district,2009,31.58,34.48,12926.0,11396.0,2216.0,47.0,15493.0,102.7,65.3,63.92,60.0,0.4531828973369487,0.4436945499910183,0.4118777899698764,0.3912343192396275,0,0,0.9790628741691556,31.58,102.7,11.396,22.16
Saatli district,district,2009,12.01,12.6,30374.0,27997.0,14398.0,48.0,36523.0,66.9,60.0,20.02,20.0,0.5107630362659703,0.4257512776085631,0.4188865210866506,0.3990915992933873,0,0,0.833559297323272,12.01,66.9,27.997,143.98
Sabirabad district,district,2009,28.0,33.5,54187.0,45131.0,19216.0,48.1,71270.0,18.2,2.9,33.86,35.0,1.0000000000000313,0.5153862360809648,0.0,0.4789790941769956,20,0,0.5153862360809487,28.0,18.2,45.131,192.16
Salyan district,district,2009,18.59,16.01,33270.0,31163.0,18890.0,48.0,40621.0,56.1,87.4,35.0,30.0,0.5755545457532892,0.4254145747461056,0.4756676301528908,0.400557434659452,0,0,0.7391385888357819,18.59,56.1,31.163,188.9
Samukh district,district,2009,25.11,24.6,9582.0,8554.0,8568.0,47.3,13106.0,32.7,37.0,34.64,50.0,0.5144749705548656,0.5000367589646243,0.4885392298708101,0.4728725098823729,0,0,0.9719360271799626,25.11,32.7,8.554,85.68
Shabran district,district,2009,23.33,20.17,11404.0,10156.0,962.0,48.0,11068.0,-30.6,10.1,33.01,38.0,0.3691234950432761,0.3556701942875773,0.3116951783635513,0.2834675810929516,0,0,0.963553388130654,23.33,-30.6,10.156,9.62
Shaki district,district,2009,48.53,35.0,36917.0,30408.0,9487.0,48.0,47602.0,21.7,71.4,58.63,60.0,0.8075516072431616,0.5109028876018085,0.4299931672475012,0.4670348280059798,0,0,0.6326566414076502,48.53,21.7,30.408,94.87
Shamakhi district,district,2009,,13.44,19250.0,18856.0,96.0,,20878.0,,17.0,,55.0,0.8088522549905511,0.6218486750826935,0.4678320304455283,0.3511203033687594,0,0,0.7688037849260343,13.44,17.0,18.856,0.96
Shamkir district,district,2009,10.01,,28018.0,27131.0,9034.0,48.0,38619.0,116.7,,46.86,,0.5956147147678666,0.4645540348843059,0.4496854558673169,0.4263102692690537,0,0,0.7799572834015023,10.01,116.7,27.131,90.34
Siyazan district,district,2009,55.0,25.65,5325.0,4806.0,6.0,50.0,8023.0,-16.5,117.2,50.17,56.13,1.0,1.0,0.0,0.0,17,5,1.0,55.0,-16.5,4.806,0.06
Tartar district,district,2009,15.91,,11039.0,10834.0,7880.0,48.0,11280.0,50.0,,30.0,,0.3522837034229032,0.339798362994648,0.3350772676224298,0.3209047442309871,0,0,0.96455884757954,15.91,50.0,10.834,78.8
Tovuz district,district,2009,40.09,,17416.0,16755.0,2833.0,51.0,25839.0,15.7,,46.44,,0.5057823643882153,0.5033062038852077,0.4027964327624502,0.4377929702652763,0,0,0.9951042964773936,40.09,15.7,16.755,28.33
Ujar district,district,2009,30.0,32.22,31543.0,21078.0,11222.0,48.0,29593.0,,8.6,,40.0,0.4590269500007434,0.4582058270496568,0.3739313570631246,0.4300123776326633,0,0,0.998211166139406,30.0,8.6,21.078,112.22
Yevlakh district,district,2009,19.61,18.45,35164.0,24151.0,13519.0,50.1,29496.0,191.7,108.7,78.72,42.07,0.3993349192556228,0.3985924062962597,0.3273380236753188,0.3746339288223543,0,0,0.9981406260170106,19.61,191.7,24.151,135.19
Zagatala district,district,2009,20.0,34.92,28500.0,24998.0,8072.0,48.0,39657.0,21.6,15.8,26.37,40.74,0.6832804557168382,0.5177446351841978,0.5010313198732685,0.4743789784115146,0,0,0.7577337107367214,20.0,21.6,24.998,80.72
Zardab district,district,2009,21.48,20.0,22366.0,19646.0,13348.0,48.0,21663.0,19.7,76.3,30.93,35.0,0.3633508076828838,0.3598698591462948,0.3376821011662591,0.339492575180493,0,0,0.990419868449482,21.48,19.7,19.646,133.48
Absheron district,district,2010,8.35,10.41,11740.0,11740.0,522.0,48.0,32931.0,7.7,9.3,37.1,40.2,0.9999999999999992,1.0,0.4875954519472139,0.7589377471877259,0,0,1.0000000000000009,8.35,7.7,11.74,5.22
Agdash district,district,2010,15.72,24.56,34629.0,23056.0,13728.0,48.0,33297.0,115.0,16.7,34.4,29.2,0.5214226365894279,0.5148542719788146,0.4431950817424249,0.4903067893043009,0,0,0.9874029929855438,15.72,115.0,23.056,137.28
Aghdam district,district,2010,15.27,,14930.0,14528.0,7325.0,48.0,26856.0,29.4,,20.0,,0.6617273190651515,0.6590201217684232,0.6008987285821167,0.625289994209519,0,0,0.995908892955254,15.27,29.4,14.528,73.25
Aghstafa district,district,2010,48.85,,11427.0,9153.0,7057.0,46.5,13644.0,400.0,,50.0,,0.5450664036521806,0.5314243210536423,0.5213677361307012,0.5073997442559574,0,0,0.9749717052690636,48.85,400.0,9.153,70.57
Aghsu district,district,2010,22.5,18.85,18654.0,14506.0,941.0,48.0,24177.0,37.5,175.0,30.6,51.2,0.5980867981692559,0.5941798439189141,0.4740675165399958,0.496394458187805,0,0,0.9934675798524544,22.5,37.5,14.506,9.41
Astara district,district,2010,12.38,15.01,22374.0,22027.0,997.0,48.2,21108.0,4.3,4.3,23.2,21.1,0.3451041190306345,0.3416291431513081,0.2486371684581531,0.2609895706339696,0,0,0.9899306450207338,12.38,4.3,22.027,9.97
Balakan district,district,2010,26.98,,17513.0,14289.0,3416.0,47.0,15625.0,48.7,,55.2,,0.3976765360997045,0.3898354843570757,0.3718499349286798,0.3609220766348083,0,0,0.9802828403718974,26.98,48.7,14.289,34.16
Beylagan district,district,2010,28.48,23.06,26358.0,24841.0,25326.0,48.0,34768.0,-30.0,0.0,20.0,22.8,0.5295677897231017,0.4989692844352275,0.4628614112214637,0.4771175040321824,0,0,0.9422198519591356,28.48,-30.0,24.841,253.26
Bilasuvar district,district,2010,43.54,37.58,19463.0,17413.0,7615.0,48.0,23573.0,50.0,40.2,54.5,56.7,0.4860982969331621,0.4826190208040996,0.4515530209005041,0.4561721894609831,0,0,0.9928424432856202,43.54,50.0,17.413,76.15
Dashkasan district,district,2010,19.57,20.29,13563.0,13375.0,85.0,48.0,19341.0,101.3,71.3,50.2,49.5,0.9902891142066595,0.7405801347723092,0.652597126060614,0.4129839885954194,0,0,0.7478423463895216,19.57,101.3,13.375,0.85
Gabala district,district,2010,20.0,15.78,26060.0,24489.0,1637.0,48.0,25658.0,14.3,73.8,40.0,32.9,0.3754436637179739,0.3735209173796697,0.2907696163773328,0.3136226590835959,0,0,0.9948787354159518,20.0,14.3,24.489,16.37
Gakh district,district,2010,27.94,35.55,14168.0,12279.0,2723.0,48.0,11216.0,,22.2,,58.2,0.3370895550908408,0.3256403247989947,0.3162458405456608,0.30034942405243,0,0,0.9660350487906376,27.94,22.2,12.279,27.23
Gazakh district,district,2010,20.38,23.79,15459.0,13512.0,7557.0,48.0,23289.0,100.0,96.1,50.0,53.7,0.619080923597518,0.6144610834657082,0.5794873226145222,0.5844326650683486,0,0,0.9925375828010276,20.38,100.0,13.512,75.57
Gobustan district,district,2010,,23.29,11205.0,11092.0,33.0,,14830.0,,67.5,,40.4,0.9999999999999992,0.999999999999998,0.4208794688061024,0.4640839911925245,0,0,0.999999999999999,23.29,67.5,11.092,0.33
Goranboy district,district,2010,20.96,,20857.0,19626.0,11186.0,48.0,23619.0,43.8,,32.9,,0.4321069486116032,0.429035164926756,0.4039295028154789,0.4082301579890789,0,0,0.992891149529724,20.96,43.8,19.626,111.86
Goychay district,district,2010,40.38,,23525.0,19041.0,5180.0,56.6,23550.0,3.3,,39.4,,0.4441142261446387,0.4409246069253941,0.4049597275428314,0.4101791614189024,0,0,0.9928180206093964,40.38,3.3,19.041,51.8
Goygol district,district,2010,37.18,35.15,9827.0,9682.0,949.0,43.1,22532.0,38.5,16.7,52.9,41.2,0.8366091272140527,0.8296555872261899,0.7101951863773623,0.7281027479816156,0,0,0.9916884244246552,37.18,38.5,9.682,9.49
Guba district,district,2010,31.44,,26506.0,26051.0,862.0,49.6,35341.0,35.2,,38.9,,0.6204792596694156,0.5318789350825249,0.3588669923034452,0.4135039662146715,0,0,0.857206629865282,31.44,35.2,26.051,8.62
Gusar district,district,2010,26.03,,18714.0,18644.0,3778.0,48.0,24030.0,4.7,,26.7,,0.4625827530233821,0.4594918942392019,0.413632967527748,0.4215629856771247,0,0,0.9933182576220606,26.03,4.7,18.644,37.78
Hajigabul district,district,2010,,17.6,14948.0,13461.0,1509.0,,13800.0,,88.9,,42.4,0.3746822152526906,0.3654811141234675,0.3386222070473605,0.3239933563301486,0,0,0.975442920014184,17.6,88.9,13.461,15.09
Imishli district,district,2010,42.66,39.47,38800.0,33036.0,20896.0,46.4,43971.0,2.6,10.4,45.4,43.5,0.6127807761323762,0.474506387630851,0.5138138289349556,0.4522131104577553,0,0,0.7743493368472537,42.66,2.6,33.036,208.96
Ismayilli district,district,2010,30.64,86.45,23751.0,22908.0,1230.0,48.0,33687.0,7.5,23.1,27.6,44.4,0.551889372216369,0.5242498804467249,0.3138733377831264,0.4207303007289188,0,0,0.9499184199568024,30.64,7.5,22.908,12.3
Jalilabad district,district,2010,15.83,,49857.0,45971.0,112.0,48.0,50705.0,16.7,,29.2,,0.9999999999999998,0.999999999999998,0.1720193095425062,0.4912381861903896,4,0,0.999999999999998,15.83,16.7,45.971,1.12
Kalbajar district,district,2010,,27.87,11973.0,11589.0,357.0,,14051.0,,26.1,,31.9,0.4939269126341397,0.4850724027834684,0.3730600432082924,0.3762069140559719,0,0,0.9820732387238232,27.87,26.1,11.589,3.57
Khachmaz district,district,2010,31.9,20.49,26020.0,24657.0,5812.0,48.0,37862.0,-6.1,51.6,29.6,33.5,0.6301748563730764,0.5474273532516916,0.4805178064428317,0.506492850849801,0,0,0.8686912016807021,31.9,-6.1,24.657,58.12
Khizi district,district,2010,,39.16,5150.0,5126.0,369.0,,8940.0,,100.0,,62.7,0.6520594796370048,0.621759020768108,0.5563906785638179,0.5272933200226577,0,0,0.9535311427635944,39.16,100.0,5.126,3.69
Khojavand district,district,2010,2.5,14.31,872.0,872.0,521.0,,385.0,,41.8,,21.1,0.3990363945341935,0.1574009765762663,0.2352198844455649,0.1499042264933421,0,0,0.3944526833448486,2.5,41.8,0.872,5.21
Kurdamir district,district,2010,57.62,25.75,31106.0,25097.0,14809.0,48.1,32693.0,4.7,77.3,62.4,45.2,0.4644655984423109,0.464404203216224,0.3926908308884214,0.4421932681120318,0,0,0.999867815342422,57.62,4.7,25.097,148.09
Lachin district,district,2010,,33.0,16369.0,13953.0,1462.0,48.0,12789.0,16.1,-5.3,42.4,32.0,0.3361082270060214,0.3267624706666135,0.3029518384475078,0.2884156231589501,0,0,0.9721942053526692,33.0,16.1,13.953,14.62
Masalli district,district,2010,12.36,53.85,34943.0,33072.0,974.0,48.0,42223.0,25.0,25.0,20.8,40.0,0.8464736958170312,0.5170460219149405,0.4816948964332268,0.399090970564503,0,0,0.6108234957211265,12.36,25.0,33.072,9.74
Neftchala district,district,2010,22.54,20.28,19495.0,17929.0,10285.0,48.0,20167.0,42.6,39.3,32.3,28.1,0.4056127639080761,0.4010037270102238,0.3829708433302308,0.3816087538899009,0,0,0.9886368543892844,22.54,42.6,17.929,102.85
Oghuz district,district,2010,36.93,39.33,12931.0,11464.0,2523.0,47.0,15895.0,71.6,57.5,63.4,65.0,0.5039172910600016,0.4942964971716646,0.4691168131587644,0.4557147646986913,0,0,0.9809079901423912,36.93,71.6,11.464,25.23
Saatli district,district,2010,12.52,12.94,30943.0,28823.0,12622.0,48.0,36770.0,53.8,55.4,20.0,20.0,0.5099081341424017,0.4547970364931798,0.4350634914766011,0.429892255981514,0,0,0.8919195557805497,12.52,53.8,28.823,126.22
Sabirabad district,district,2010,38.8,34.0,53500.0,44623.0,15075.0,48.1,75621.0,0.3,17.4,40.2,40.0,0.999999999999996,0.6041528514481402,0.1015003879333054,0.5661805470968517,9,0,0.6041528514481427,38.8,0.3,44.623,150.75
Salyan district,district,2010,18.09,17.4,33678.0,31592.0,19229.0,49.3,40000.0,91.5,56.4,34.3,27.9,0.5439689602694356,0.4513838833915023,0.4722439838959322,0.4299881545703729,0,0,0.8297971324833046,18.09,91.5,31.592,192.29
Samukh district,district,2010,21.99,28.57,9804.0,8793.0,7861.0,47.2,13616.0,39.0,80.0,32.2,69.2,0.5662677110997136,0.5520464832085882,0.5418724063869269,0.5276300524497042,0,0,0.974886034269008,21.99,39.0,8.793,78.61
Shabran district,district,2010,38.73,37.5,11711.0,10442.0,846.0,54.4,11885.0,62.7,,58.2,,0.4188174654832915,0.4057688229510155,0.3661293820496064,0.3493206312577737,0,0,0.968844082189317,38.73,62.7,10.442,8.46
Shaki district,district,2010,46.45,38.0,37896.0,31364.0,7598.0,47.4,49823.0,26.9,70.9,58.6,65.0,0.8054403293819148,0.5663196188529925,0.4580472800551962,0.524601385170207,0,0,0.7031180314593626,46.45,26.9,31.364,75.98
Shamakhi district,district,2010,,13.81,19312.0,18901.0,117.0,,20880.0,,13.9,,79.9,0.7755813443864815,0.566831891306876,0.4986714038932076,0.3108099585550774,0,0,0.7308477639508781,13.81,13.9,18.901,1.17
Shamkir district,district,2010,17.31,,28562.0,27814.0,10090.0,42.0,45027.0,156.0,,42.2,,0.7570732414264172,0.5771287905506994,0.5774130541770257,0.5421417869336708,0,0,0.7623156637570749,17.31,156.0,27.814,100.9
Siyazan district,district,2010,18.2,30.75,5446.0,5007.0,22.0,48.0,9557.0,284.6,73.8,70.0,51.4,1.0000000000000002,1.0,0.233547232784095,0.3394388399303338,0,0,0.9999999999999998,18.2,284.6,5.007,0.22
Tartar district,district,2010,32.92,,11136.0,10933.0,9923.0,52.0,12030.0,17.3,,33.5,,0.4046507055402172,0.3922739397205138,0.3874334895088431,0.3749550501904262,0,0,0.9694137050788524,32.92,17.3,10.933,99.23
Tovuz district,district,2010,55.01,,17420.0,16736.0,4095.0,51.0,27350.0,2.5,,56.4,,0.5847567377623507,0.5825978015449534,0.5049667093849912,0.5398807070914807,0,0,0.9963079754742824,55.01,2.5,16.736,40.95
Ujar district,district,2010,28.93,88.97,32492.0,21675.0,11541.0,48.0,34006.0,23.1,,41.0,,0.5798405824236997,0.559319064149264,0.4937517184593883,0.5314069904046034,0,0,0.964608344264803,28.93,23.1,21.675,115.41
Yevlakh district,district,2010,26.0,25.77,29923.0,20317.0,18587.0,50.1,32408.0,92.3,69.1,50.0,43.7,0.568830776707628,0.5686641204731672,0.4884974230026516,0.5435741737622128,0,0,0.9997070196598268,26.0,92.3,20.317,185.87
Zagatala district,district,2010,28.35,28.93,28800.0,25429.0,8091.0,39.5,40283.0,-18.2,24.1,23.3,49.7,0.6843782671092771,0.5647493016078643,0.5431281980521331,0.5281977441630398,0,0,0.8252005195800421,28.35,-18.2,25.429,80.91
Zardab district,district,2010,28.7,30.83,22564.0,19904.0,14353.0,48.0,21702.0,152.3,104.2,61.8,35.0,0.3923596056436281,0.3887071901581999,0.3695725273099509,0.3708991306889204,0,0,0.9906911531337768,28.7,152.3,19.904,143.53
Absheron district,district,2011,35.73,20.13,11972.0,11972.0,338.0,48.0,40807.0,7.6,9.5,49.3,39.2,1.0000000000000002,1.0000000000000002,0.0831098758823525,0.5927746961653837,1,0,1.0,35.73,7.6,11.972,3.38
Agdash district,district,2011,22.91,25.0,35179.0,23541.0,12718.0,48.0,34323.0,51.5,25.0,35.1,29.4,0.4304444251373835,0.4277523194603045,0.3666698781926902,0.3999266199135761,0,0,0.9937457531800538,22.91,51.5,23.541,127.18
Aghstafa district,district,2011,25.0,,11543.0,9276.0,6097.0,48.0,13862.0,52.9,,51.0,,0.4668186056124774,0.4384269019787538,0.4401290246874165,0.4109316171345519,0,0,0.939180436914092,25.0,52.9,9.276,60.97
Aghsu district,district,2011,,22.09,18719.0,14736.0,1027.0,,25019.0,,95.2,,54.0,0.5085784937830826,0.4981066896641475,0.4010759624747053,0.4156474262111588,0,0,0.9794096599700076,22.09,95.2,14.736,10.27
Astara district,district,2011,14.94,16.67,22233.0,22011.0,906.0,48.0,21578.0,1.3,7.7,30.3,22.5,0.2961483348085939,0.2876096510209687,0.2044237241820484,0.2119197730468156,0,0,0.971167544152683,14.94,1.3,22.011,9.06
Balakan district,district,2011,26.99,,18245.0,15107.0,3214.0,47.2,15656.0,35.7,,51.1,,0.3203151084674197,0.3040427301350545,0.294003218162333,0.2751146424807824,0,0,0.9491988423205449,26.99,35.7,15.107,32.14
Beylagan district,district,2011,27.69,17.22,26581.0,25158.0,26233.0,48.0,36350.0,-28.0,16.8,20.0,19.9,0.4256285714726686,0.4238969995851622,0.353989806636231,0.3985449235983765,0,0,0.9959317301432205,27.69,-28.0,25.158,262.33
Bilasuvar district,district,2011,49.24,36.78,19510.0,17588.0,6746.0,48.0,23781.0,,38.1,39.6,55.7,0.4061466464872579,0.3966849246294535,0.3738269556997909,0.3674992407280219,0,0,0.9767036809496314,49.24,38.1,17.588,67.46
Dashkasan district,district,2011,22.96,35.03,13766.0,13584.0,100.0,48.0,20213.0,14.5,44.3,41.5,50.5,0.8462399111812433,0.7532979449151971,0.4798672048078538,0.3922465982629959,0,0,0.8901706655074788,22.96,14.5,13.584,1.0
Fuzuli district,district,2011,83.21,,14798.0,13988.0,6447.0,48.0,9615.0,-8.3,,28.9,,0.2234579966232184,0.2016627592370256,0.2070198540754286,0.1877761657790372,0,0,0.9024638289273548,83.21,-8.3,13.988,64.47
Gabala district,district,2011,24.99,,26135.0,24620.0,1922.0,48.0,26127.0,42.1,,33.0,,0.317166906594651,0.3113390076569945,0.2518155056054181,0.2628654344962581,0,0,0.981625135483934,24.99,42.1,24.62,19.22
Gakh district,district,2011,30.46,35.86,12767.0,11161.0,2045.0,47.9,11352.0,,38.2,,69.5,0.3241963816614056,0.2984017147622561,0.2945767849088002,0.2678039597754362,0,0,0.920435056162688,30.46,38.2,11.161,20.45
Gazakh district,district,2011,25.99,24.1,15495.0,13760.0,7725.0,47.9,25124.0,21.9,105.1,32.0,50.1,0.5468162368739043,0.5356762491159462,0.5071032078370353,0.5011524917732167,0,0,0.9796275475987248,25.99,21.9,13.76,77.25
Gobustan district,district,2011,,23.54,11246.0,11133.0,24.0,,15052.0,,93.3,,47.1,0.9999999999999996,1.0000000000000002,0.0366326371307015,0.0625625610774565,1,0,1.0000000000000009,23.54,93.3,11.133,0.24
Goychay district,district,2011,41.04,,23926.0,19546.0,5479.0,48.0,23750.0,24.4,,50.8,,0.3650115318437865,0.3564821263797324,0.330927124213204,0.3270172767963777,0,0,0.9766325041267344,41.04,24.4,19.546,54.79
Goygol district,district,2011,32.81,32.47,9851.0,9724.0,973.0,48.1,22586.0,31.8,59.2,35.2,42.9,0.6997528644022235,0.6814381030944227,0.5943109953136751,0.5864843137761511,0,0,0.9738268148091876,32.81,31.8,9.724,9.73
Guba district,district,2011,49.38,,26406.0,26002.0,1042.0,48.0,35376.0,19.2,,39.2,,0.4011895386175409,0.3991480495720778,0.1855713353100443,0.291069218754109,0,0,0.9949114100719127,49.38,19.2,26.002,10.42
Gusar district,district,2011,31.24,,18793.0,18727.0,4099.0,48.0,26237.0,-6.0,,29.4,,0.4186386506305125,0.4110342437468673,0.368421724733883,0.3725278583523286,0,0,0.981835392235781,31.24,-6.0,18.727,40.99
Hajigabul district,district,2011,,18.06,15342.0,13821.0,1794.0,,14790.0,,89.1,,40.5,0.3323490833976241,0.3139501878024148,0.2979054016213013,0.2757490835929408,0,0,0.9446398485378196,18.06,89.1,13.821,17.94
Imishli district,district,2011,40.79,48.62,38955.0,33539.0,20765.0,47.9,44487.0,15.1,12.1,50.2,49.3,0.4499037275025369,0.3891482220175579,0.3249684977802191,0.3645314260186165,0,0,0.864958875041469,40.79,15.1,33.539,207.65
Ismayilli district,district,2011,40.48,45.72,23798.0,22997.0,1370.0,48.0,33709.0,-17.1,-21.3,26.0,32.7,0.4330546381777717,0.4300378916966925,0.2634182241960058,0.3517918649899025,0,0,0.993033797089039,40.48,-17.1,22.997,13.7
Jalilabad district,district,2011,14.58,,49969.0,46056.0,112.0,48.0,54905.0,18.6,,50.0,,1.0,0.854513040083579,0.0,0.1492766136691514,22,0,0.8545130400835791,14.58,18.6,46.056,1.12
Kalbajar district,district,2011,,45.21,12123.0,11753.0,325.0,,15010.0,,2.5,,56.5,0.4117213586625835,0.3791131879238901,0.2613642755048752,0.2269730537290314,0,0,0.9208003907190624,45.21,2.5,11.753,3.25
Khachmaz district,district,2011,60.64,21.15,25961.0,24709.0,3768.0,48.0,39263.0,-42.2,66.1,38.9,37.4,0.4667979599351612,0.4661872062000253,0.2800838576230892,0.4138969914636924,0,0,0.9986916101021078,60.64,-42.2,24.709,37.68
Khizi district,district,2011,,41.35,5460.0,5441.0,176.0,,9650.0,,100.0,,62.9,0.5763015441581917,0.5203321103698515,0.3513579484590934,0.3396645293196745,0,0,0.902881686929895,41.35,100.0,5.441,1.76
Khojavand district,district,2011,,15.56,881.0,880.0,475.0,,290.0,,19.5,,30.0,0.5466990704482393,0.0966823873800618,0.1141397102305534,0.0903913963567583,0,0,0.1768475430199503,15.56,19.5,0.88,4.75
Kurdamir district,district,2011,34.64,26.72,32175.0,25988.0,14086.0,48.0,33454.0,2.7,97.1,88.8,50.0,0.3804308807595996,0.3776654313825316,0.3278002686700838,0.353121073655682,0,0,0.99273074422469,34.64,2.7,25.988,140.86
Lachin district,district,2011,,31.76,16700.0,14023.0,1325.0,,13095.0,,8.8,,34.6,0.2932812391556846,0.2739659621294278,0.2558448337336376,0.2347571485771899,0,0,0.934140768492854,31.76,8.8,14.023,13.25
Lerik district,district,2011,29.48,31.19,16732.0,16644.0,356.0,48.0,13795.0,59.3,,50.0,,0.3014499522830395,0.2820490959599407,0.1897671898480423,0.1728152679042642,0,0,0.9356415346024576,29.48,59.3,16.644,3.56
Masalli district,district,2011,43.92,16.67,35473.0,33775.0,913.0,48.0,43133.0,42.9,,20.8,,0.5078723612812321,0.3839558269136516,0.0997992299623187,0.2312069991449116,0,0,0.7560085095889629,43.92,42.9,33.775,9.13
Neftchala district,district,2011,19.16,20.28,19864.0,18268.0,10754.0,48.0,20207.0,-6.8,39.3,16.8,28.1,0.3355427961739439,0.3245210546375119,0.3148359100577076,0.3038198009518779,0,0,0.9671525013735702,19.16,-6.8,18.268,107.54
Oghuz district,district,2011,37.1,39.59,12942.0,11498.0,3445.0,46.9,15926.0,89.3,56.0,70.5,66.1,0.4275155882423624,0.4063651421371875,0.3969994292340683,0.3736489724282016,0,0,0.9505270762356752,37.1,89.3,11.498,34.45
Saatli district,district,2011,15.19,15.7,31355.0,29360.0,15137.0,48.0,36845.0,24.5,55.7,20.0,20.3,0.3694941780005873,0.3681752155708179,0.2971919154657337,0.343836883128297,0,0,0.99643035666514,15.19,24.5,29.36,151.37
Sabirabad district,district,2011,33.6,33.71,54483.0,45440.0,22581.0,48.1,80316.0,2.9,19.8,35.0,41.0,1.0,0.5185561490589333,0.0,0.4838154101056197,27,0,0.5185561490589333,33.6,2.9,45.44,225.81
Salyan district,district,2011,34.59,13.49,32112.0,29915.0,21663.0,48.0,42207.0,20.8,104.7,42.6,32.8,0.4398441377688833,0.4139305850775169,0.3241259981029923,0.3883116277830746,0,0,0.9410846923575852,34.59,20.8,29.915,216.63
Samukh district,district,2011,24.52,28.57,9901.0,8951.0,7727.0,47.1,13685.0,27.1,35.0,35.7,38.6,0.4781600878857877,0.4485442407670144,0.4513597348154383,0.4214007394648437,0,0,0.938062904309472,24.52,27.1,8.951,77.27
Shabran district,district,2011,47.28,,11892.0,10599.0,672.0,48.0,12377.0,28.9,,52.4,,0.3688133777429747,0.3425961979401642,0.3015579801944802,0.2826822503377155,0,0,0.928914780794418,47.28,28.9,10.599,6.72
Shaki district,district,2011,37.54,41.56,38694.0,32134.0,8647.0,48.0,50222.0,72.5,71.1,64.6,65.0,0.6339723010294417,0.4585231365125445,0.2304909759385021,0.4199598361298563,0,0,0.7232542112139545,37.54,72.5,32.134,86.47
Shamakhi district,district,2011,,14.34,19544.0,19126.0,117.0,,21074.0,,14.0,,80.0,0.6742357662805144,0.5830301056445216,0.3482644977017917,0.275117187407268,0,0,0.8647273473207489,14.34,14.0,19.126,1.17
