dependent_variable,coef,se_cluster,t_obs,p_wild,B,G
control-frontier (primary),0.11560411479538299,0.11153064479505786,1.0365233251167003,0.37537537537537535,999,67
pooled-frontier (secondary),0.056658716249132324,0.03303233847499078,1.7152499297629016,0.1061061061061061,999,67
