frontier,coef,se_robust,se_cluster,ape,n,converged
control,0.6204557576737526,0.2613697215353036,0.5244919951530908,0.139570709378448,1523,True
pooled,0.26606819946523697,0.11454251301883378,0.1536028251369696,0.05910444933271819,1523,True
