variable,coef,se,p_value
Intercept,0.4958212771892875,0.010890804905399617,0.0
Cattle(1000),-0.007956536533440067,0.0006048488657634935,0.0
Fodder(100ha),0.0006143949203391258,7.793002718795699e-05,3.1086244689504383e-15
PostConflict,-0.08386736227779759,0.01601124708663684,1.6230134880501623e-07
