measure,mean,sd,min,max
DEA VRS (raw),0.5912073072554086,0.21447195071565384,0.17634650837574195,1.0000000000004414
DEA VRS (bootstrap-corrected),0.4205129147125274,0.17211402636670542,0.0,0.9179812433962459
"Scale efficiency (CRS/VRS, raw)",0.9047221170064436,0.1526747175982589,0.020708262700236377,1.0000000000002396
