variable,coef_baseline,se_baseline,p_baseline,coef_year_fe,se_year_fe,p_year_fe
Intercept,0.4904725506750731,0.016234677315962478,0.0,0.5761461282887679,0.021576952866965825,0.0
Cattle,-0.0072211939822184445,0.0005980131437903143,0.0,-0.007202359367457504,0.0005600972388525063,0.0
Fodder,0.0005910979824286081,7.961752335406887e-05,1.13464793116691e-13,0.000611484489257584,7.455548064564939e-05,2.220446049250313e-16
Cost,-0.00023765338872574343,0.00027177168923583103,0.38186796005209445,8.731140596998395e-05,0.0002958005530761218,0.7678641298460869
Profitability,-0.00014760647594546302,9.443726243244648e-05,0.11805001761071976,-0.00012532546047277923,9.326053765931527e-05,0.17900630652080474
