region,cum_TEC_pct,cum_TC_pct,cum_TFP_pct,N_pairs
Absheron-Khizi economic region,-22.46935723811453,388.47178076249077,278.71531133558676,24
Ganja-Dashkasan economic region,-6.862852560489118,158.99294957488337,141.2186453034969,24
Karabakh economic region,-22.757552445595188,78.28875907977229,37.71460122759225,24
Daghlig Shirvan economic region,-32.960134982819355,105.33556462251399,37.656685355198945,24
Gazakh-Tovuz economic region,-31.62452861616706,99.33314860701108,36.294979984280104,24
Guba-Khachmaz economic region,-32.71233500537958,64.36001952382131,10.594019322281545,24
Shaki-Zagatala economic region,-42.27208600401332,77.59010573589305,2.519063504598207,24
Nakhchivan Autonomous Republic,-37.861757850659785,57.55453767567713,-2.0983798618142258,24
Central Aran economic region,-42.312411900499534,33.832739089443905,-22.79512073180244,24
Shirvan-Salyan economic region,-48.833082147174125,24.21348501037608,-36.443788162608726,24
Mil-Mughan economic region,-48.71477284422211,17.346405635530825,-39.81862931067748,24
Lankaran-Astara economic region,-53.790542213053016,-60.14251880246042,-81.58207405108261,24
Eastern Zangazur economic region,-63.44459144080926,-82.87074072920862,-93.73832929039916,24
