variable,coef,se,p_value
Intercept,0.37617377350377473,0.013249269107565409,0.0
Cost,-0.00015746244023992183,0.000292338614009773,0.5901419644771151
Profitability,4.433910511260762e-05,0.00010101719451120872,0.66071492722011
