event_time,coef,se_clustered
-10,-0.06611276376227683,0.05680051502095492
-9,-0.0720424352081764,0.0741031163654132
-8,-0.05229156128789268,0.048119490259387325
-7,-0.03629917344327195,0.04613946640703815
-6,-0.026282167449332546,0.04964521725045163
-5,-0.012584500950126504,0.03754406338077399
-4,0.012575888528079282,0.0279843470169863
-3,0.020183003065837368,0.032319020574621354
-2,-0.002217428074671523,0.015911490302726893
-1,0.0,0.0
0,0.022218907103666842,0.02258434029659596
1,0.024563880446166024,0.03608929225173631
2,0.009743343993427458,0.05197655482089125
3,0.004295653741945545,0.025685770904297127
4,0.03851103078761997,0.07970066784410608
