frontier,se_type,estimate,se,t,p,n
control,classical,0.11560411479538307,0.027717105750161623,4.170858091657314,3.216938338868047e-05,1523
control,HC1_robust,0.11560411479538307,0.053593316691510566,2.1570621475213776,0.031166890152495963,1523
control,district_clustered,0.11560411479538307,0.11153064479505786,1.0365233251167012,0.3001331817019399,1523
pooled,classical,0.056658716249132324,0.018585112855765234,3.0486075973198297,0.0023412063519563375,1523
pooled,HC1_robust,0.056658716249132324,0.024380890156561114,2.323898589645422,0.020270385809421754,1523
pooled,district_clustered,0.056658716249132324,0.03303233847499078,1.7152499297629016,0.08651589643894741,1523
