se_type,estimate,se,t,p,n
classical,0.12277156811278492,0.02778766350315119,4.418204074583756,1.0702110346150207e-05,1522
HC1_robust,0.12277156811278492,0.05369210069400477,2.286585298877932,0.022365546818363224,1522
district_clustered,0.12277156811278492,0.11427466526184146,1.074355088518301,0.2828446820500441,1522
