year,cost_milk
2000,
2001,
2002,
2003,
2004,
2005,16.845000000000002
2006,
2007,
2008,24.051428571428573
2009,25.3525
2010,28.40280701754386
2011,32.66245283018868
2012,33.03181818181818
2013,32.979814814814816
2014,35.001296296296296
2015,36.54576923076923
2016,35.981923076923074
2017,39.69274509803921
2018,40.99980000000001
2019,38.67163265306122
2020,39.16367346938775
2021,42.1475
2022,46.104166666666664
2023,49.39829787234043
2024,47.125208333333326
