,,,,,,,,,,,,,,,,,,,
,   Siyazan district ,"222","447","639","779","880","882","882","912","906","674","523","383","610","396","941","400","435","670"
,   Shabran district ,"41","41","41","94","94","76","76","76","76","35","35","35","35",-,"179","178","173","628"
,Lankaran-Astara economic region,"715","223","519","413","525","676","656","692","642","645","652","232","1348","1494","360","1314","437","496"
,   Astara district ,"652","143","136","117","211","230","118","286","298","321","321",-,-,-,-,-,-,-
,   Jalilabad district ,"7","7","15","50","57","184","283","159","97","66","105","27",-,-,-,-,-,-
,   Lerik district ,"31","36","200","78","67","70","71","67","67","68","68","46","49","28",-,-,-,-
,   Lankaran district ,"13","18","26","36","37","40","39","31","34","35",-,-,"205","193","193","1137","238","284"
,   Masalli district ,"2","10","10","10","10","10",-,-,-,-,-,-,"1016","1200","106","110","127","142"
,   Yardimli district ,"10","9","132","122","143","142","145","149","146","155","158","159","78","73","61","67","72","70"
,Central Aran economic region,"1162","3338","5224","6351","5814","5899","5886","5847","2603","21714","21212","2880","3012","2904","3616","3599","3359","2951"
,   Mingachevir city,-,"10","115","132","120","120","120","110","110","110",-,-,-,-,-,-,-,-
,   Agdash district ,"6","5","2","2",-,"12",-,-,-,-,-,-,-,-,-,-,-,-
,   Goychay district ,-,-,-,-,-,-,-,-,-,-,-,-,"450","450","913","805","805","539"
,   Kurdamir district ,"222","685","671","702","642","709","706","721","722","654","359","428","817","475","770","780","783","778"
,   Ujar district ,"131","131","135","166","65","65","64","43","79","25",-,-,-,-,-,-,-,-
,   Yevlakh district ,"795","2497","4290","5207","4846","4854","4838","4803","1509","20722","20686","2291","1580","1805","1773","1853","1609","1634"
,   Zardab district ,"8","10","11","142","141","139","158","170","183","203","167","161","165","174","160","161","162",-
,Mil-Mughan economic region,"306","363","372","223","874","909","883","641","599","528","383","386","420","455","214","228","324","317"
,   Beylagan district ,"248","248","254","97","110","110","110","105","105","95","28","22","85","46","4",-,"100","100"
,   Imishli district ,"8","8","8","8","321","356","355","233","184","168","223","232","170","188","10","25","20","22"
,   Saatli district ,"28","78","81","89","413","413","403","288","290","250","132","132","152","166","200","203","214","195"
,   Sabirabad district ,"22","29","29","29","30","30","15","15","20","15",-,-,"13","55",-,-,-,
,Shaki-Zagatala economic region ,"655","185","234","739","758","762","637","565","583","562","461","119","30","23","172","172","191","188"
,   Gakh district ,"4","4","4","14","14","14","4","4","4","46","101","101",-,-,"133","133","127","126"
,   Gabala district ,"117","4","23","23","23","23","36","68","60",-,-,-,-,-,-,-,-,-
,   Oghuz district ,"100","65","66","67","67","67","67","67","67","67","4","4","4","4","4",-,-,-
,   Shaki district ,"45","46","46","45","50","53","53","53","53","53","53","9",-,-,-,-,-,-
,   Zagatala district ,"389","66","95","590","604","605","477","373","399","396","303","5","26","19","35","39","64","62"
,Eastern Zangazur economic region ,"43","325","363","415","454","509","428","197","128","244","286","277","250","335","411","413","450","150"
,   Kalbajar district ,"42","301","192","202","235","227","183","157","116","244","286","277","250","335","411","413","450","150"
,   Lachin district ,"1","24","171","213","219","282","245","40","12",-,-,-,-,-,-,-,-,-
,Shirvan-Salyan economic region,"997","1228","1273","3003","3232","2913","2795","1601","1344","1334","1239","1217","921","611","502","486","430","461"
,   Bilasuvar district ,"314","318","359","464","585","422","740",-,-,-,-,-,-,-,-,-,-,-
,   Hajigabul district ,"142","142","143","87","91","46","45","45","44","43","43","41","41","33","33","33","31","30"
,   Neftchala district ,"344","497","500","983","983","971","629","427","427","418","319","354","399","366","306","307","260","307"
,   Salyan district ,"197","271","271","1469","1573","1474","1381","1129","873","873","877","822","481","212","163","146","139","124"
