,,,,,,,,,,,,,,,,,,,
,   Sabirabad district ,"22","29","29","29","30","15","15","15","18","15",-,-,"15","55",-,-,-,-
,Shaki-Zagatala economic region,"667","196","217","748","756","762","603","562","580","559","460","119","30","23","172","172","191","187"
,   Gakh district ,"1","4","4","14","14","14","4","4","4","46","101","101",-,-,"133","133","127","126"
,   Gabala district ,"117","4","21","23","23","23","18","66","60",-,-,-,-,-,-,-,-,-
,   Oghuz district ,"104","65","63","67","67","67","67","67","67","67","4","4","4","4","4",-,-,-
,   Shaki district ,"56","57","35","54","50","53","53","53","53","53","53","9",-,-,-,-,"64","61"
,   Zagatala district ,"389","66","94","590","602","605","461","372","396","393","302","5","26","19","35","39",,
,Eastern Zangazur economic region,"55","322","302","280","357","474","408","193","127","41","286","277","250","320","375","412","401","180"
,   Kalbajar district ,"42","298","186","186","222","216","183","157","116","41","286","277","250","320","375","412","401","180"
,   Lachin district ,"13","24","116","94","135","258","225","36","11",-,-,-,-,-,-,-,-,-
,Shirvan-Salyan economic region,"962","1039","1273","2869","3094","2677","2698","1483","1194","1219","1057","1134","847","611","502","486","430","461"
,Bilasuvar district ,"314","318","359","464","588","421","741",-,-,-,-,-,-,-,-,-,-,-
,   Hajigabul district ,"142","142","143","2","2","21","27","11","9","9",-,"40","41","33","33","33","31","30"
,   Neftchala district ,"306","309","500","936","936","782","549","347","347","338","236","273","325","212","163","307","260","307"
,   Salyan district ,"200","270","271","1467","1568","1453","1381","1125","838","872","821","821","481","366","306","146","139","124"
