,,,,,,,,,,,,,,,,,,,
,3.6. Average annual value of main production funds of agriculture purpose,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,                thsd.manat
,,"2005","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
,Republic of Azerbaijan ,"12979","21267","23417","21088","22799","22079","20193","19047","14295","33208","30781","11348","17824","24005","29667","22954","21240","20364"
, Baku city ,"4287","5253","75","500","500","270","186","186","150",-,"13","13","1215",-,"1",-,-,-
,Nakhchivan Autonomous Republic,"185","1233","1233","192","353","332","75","90","96","111","58","97","3821","3845","4149","623","548","435"
,Absheron-Khizi economic region ,"2241","2344","1980","2331","2982","2980","2474","2359","2358","2312","2133","1721","1698","1704","1691","1676","1677","1676"
,Sumgayit city,"25","98",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,  Absheron district ,"2168","2186","1919","2186","2743","2743","2437","2342","2348","2310","2131","1721","1698","1704","1691","1676","1677","1676"
,   Khizi district ,"48","60","61","145","239","237","37","17","10","2","2",-,-,-,-,-,-,-
,Daghlig Shirvan economic region  ,"938","1227","1356","1464","1103","1180","1275","2591","1728","2095","1955","1998","1788","2728","3908","3178","3199","1812"
,   Aghsu district ,"203","247","269","269","290","290","276","305","311","323","282","210",-,-,-,-,-,-
,   Ismayilli district ,"485","487","487","490","95","211","89","1384","209","209","119","177","104","1264","2522","2552","2552","1295"
,   Gobustan district ,"183","426","533","644","651","612","843","834","1140","1495","1519","1569","1642","1418","1347","592","597","492"
,   Shamakhi district ,"67","67","67","61","67","67","67","68","68","68","35","42","42","46","39","34","50","25"
,Ganja-Dashkasan economic region ,"485","1994","7235","1595","2202","2248","1656","1658","1525","1466","1350","1509","2082","1557","4278","4288","2583","2551"
,Ganja city,"14","30","30",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,   Dashkasan district ,"327","779","5806","51","957","1003","1256","1199","1330","1275","1206","1365","1338","1318","1158","1198","1149","1117"
,   Goygol district ,-,"1042","1256","1394","1101","1101","256","315","51","47",-,-,"600","95","1240","1210","1290","1290"
,   Samukh district ,"144","143","143","150","144","144","144","144","144","144","144","144","144","144","1880","1880","144","144"
,Karabakh economic region ,"363","464","253","858","1048","1056","1090","1090","1100","1100","296","26",-,-,"12","12",-,-
,Khankandi city,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…
,Aghdam district ,"34",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,   Aghdara district,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…
,   Barda district ,"12","13","13","22","252","260","296","296","296","296","296",-,-,-,-,-,-,-
,   Fuzuli district ,"60","60","60","732","732","732","730","730","739","739",-,-,-,-,-,-,-,-
,   Khojaly district ,"25","7","7",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,   Khojavand district ,"228","367","156","64","64","64","64","64","65","65",-,-,-,-,"12","12",-,-
,   Shusha district ,-,"13","13","40",-,-,-,-,-,-,-,-,-,-,-,-,-,-
,   Tartar district ,"4","4","4",-,-,-,-,-,-,-,-,"26",-,-,-,-,-,-
,Gazakh-Tovuz economic region,"333","964","1451","1118","1218","1240","1107","653","681","655","715","652","662","7499","7403","5573","6693","7442"
,   Gadabay district ,"3","3","3","62","65","84","3","3","3","3","3","3","3","3",-,-,-,-
,   Gazakh district ,"330","961","1448","1056","1153","1156","1104","650","678","652","712","649","659","1096","1003","998","1243","1217"
,   Tovuz district ,-,-,-,-,-,-,-,-,-,-,-,-,-,"6400","6400","4575","5450","6225"
,Guba-Khachmaz economic region ,"269","2464","2024","2207","2086","1483","1249","1043","1012","800","290","415","725","1114","2979","1421","1455","1911"
,   Khachmaz district ,"14","17","1390","1372","1202","615","422","188","96","116","10","116","52","508","613","562","563","521"
,   Guba district ,-,"2021",-,-,-,-,-,-,-,-,-,-,-,-,"11","11","11","11"
,   Gusar district ,-,-,-,-,-,-,-,-,-,-,-,-,"28","210","1235","270","273","81"
,   Siyazan district ,"222","385","593","741","790","792","792","820","881","649","245","264","610","396","941","400","435","670"
,   Shabran district ,"33","41","41","94","94","76","35","35","35","35","35","35","35",-,"179","178","173","628"
,Lankaran-Astara economic region,"712","207","418","402","472","627","632","656","604","563","575","185","1316","1499","360","1314","437","496"
,   Astara district ,"652","133","136","117","184","207","118","286","298","295","295",-,-,-,-,-,-,-
,   Jalilabad district ,"7","7","14","50","57","184","283","159","97","60","105","27",-,-,-,-,-,-
,   Lerik district ,"32","34","107","75","66","69","70","65","65","64","64","46","48","28",-,-,-,-
,   Lankaran district ,"12","16","19","28","33","34","38","30","33","33",-,-,"205","199","193","1137","238","284"
,   Masalli district ,"2","10","10","10","10","10",-,-,-,-,-,-,"1016","1200","106","110","127","142"
,   Yardimli district ,"7","7","132","122","122","123","123","116","111","111","111","112","47","72","61","67","72","70"
,Central Aran economic region ,"1149","3202","5206","6287","5757","5845","5846","5833","2533","21753","21205","2811","2965","2651","3627","3571","3330","2924"
,   Mingachevir city,-,"10","115","102","120","120","120","110","110","110",-,-,-,-,-,-,-,-
,   Agdash district ,"6","4","2","2",-,"12",-,-,-,-,-,-,-,-,-,-,-,-
,   Goychay district ,-,-,-,-,-,-,-,-,-,-,-,-,"450","225","953","814","805","547"
,   Kurdamir district ,"222","645","672","702","642","709","696","716","658","652","354","424","775","475","770","780","783","778"
,   Ujar district ,"131","131","132","135","20","20","62","39","79","79",-,-,-,-,-,-,-,-
,   Yevlakh district ,"782","2402","4274","5204","4834","4845","4810","4798","1503","20709","20684","2226","1575","1777","1744","1816","1580","1599"
,   Zardab district ,"8","10","11","142","141","139","158","170","183","203","167","161","165","174","160","161","162",-
,Mil-Mughan economic region,"333","358","394","237","871","905","894","650","607","534","388","391","425","454","210","228","296","289"
,   Beylagan district ,"275","243","276","108","121","121","121","115","115","102","33","27","88","45",-,-,"72","72"
,   Imishli district ,"8","8","8","8","307","356","355","233","184","167","223","232","170","188","10","25","20","22"
,   Saatli district ,"28","78","81","92","413","413","403","287","290","250","132","132","152","166","200","203","204","195"
