,,,,,,,,,,,,,,,,,,,
,"2.2. Land in ownership and (or) use, ha ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,2005,"2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
,Republic of Azerbaijan ,"296765","305087","228981","225998","218759.76","224472","227078.03","226511.01","237772.71","231786.06","195198.64","211606.14","223619","131528","151305","216680","228656","187198"
,Baku city,"1180","1318","558","833","742.7","798","817.59","806.21","860","876.84","511","1884","1912","666","712","1478","5224","5130"
,Nakhchivan Autonomous Republic ,"147","169","160","163","163.7","164","166","140.8","172","172.2","204","202","178","176","136","174","132","451"
,Absheron-Khizi economic region ,"25932","25777","24064","22974","23308","22963","22601.4","22412.11","22446.64","2984.34","2156.74","5632.94","6757","2392","5314","3952","4793","4829"
,Sumgait city,-,-,"6","13","8.4","10","8.4","7.4","8.5","6.4","12.2","12","12","7","7","7","7","7"
,Absheron district ,"25237","25237","23518","22421","22759.6","22413","22053","21864.71","21869.74","2474.54","2046.04","2824.54","2826","140","3081","3220","4151","4481"
,Khizi district ,"695","540","540","540","540","540","540","540","568.4","503.4","98.5","2796.4","3919","2245","2226","725","635","341"
,Daglig-Shirvan economic region,"12665","12356","11856","12124","12400.4","13033","13236.52","14326.53","14860.92","16587.98","16873.68","29002.28","31490","29249","30297","30730","30767","25220"
,Aghsu district ,"140","162","162","190","85.4","818","965.52","2593.53","2901.52","3464.52","3854.22","2182.82","2180","3005","3913","4139","4133","4132"
,Ismayilli district ,"8997","8997","8497","8497","8577","8577","8633","8664","8771","8925","8811","8811","8811","5330","5330","5330","5480","464"
,Gobustan district ,"2483","2046","2046","2046","2046","2046","2046","2046","2046","2046","2046","2046","1217","1601","1701","1695","1690","1691"
,Shamakhi district ,"1045","1151","1151","1391","1692","1592","1592","1023","1142.4","2152.46","2162.46","15962.46","19282","19313","19353","19566","19464","18933"
,"Ganja-Dashkasan economic 
region  ","15422","18226","19246","21861","20574.3","21154","18313.56","18832.55","17363.33","25720.1","28881.48","11541.62","14843","8216","8229","8465","7299","7502"
,Ganja city,"885","408","418","468","467.6","453","517.2","530.79","179.2","102.8","12.8","78.4","78","78","78","78","78","78"
,Naftalan city,-,-,-,-,"100","100",-,"100",-,-,-,-,-,-,-,-,-,-
,Dashkasan district ,"339","304","270","270","270","270","270","270","270","720","720","720","620","420","420","410","410","410"
,Goranboy district ,"909","4361","5030","5350","5167","5751","4101","4495","4078","3448","3099.37","3119.37","6649",-,-,"1047",-,-
