,,,,,,,,,,,,,,,,,,,
,"2.53. Labour expenditure for per centner of milk, person-hour",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Guba district ,"49,7","47,9","48,0","49,6","48,0","48,0","48,6","48,0","48,0","47,9","48,0","48,0","45,7","45.6","46.8","45.4","33,8","33.9"
,Gusar district ,"47,2","47,6","48,0","48,0","48,0","47,6","48,0","48,0","48,0","50,7","48,0","48,0","48,0","48","48","48","48,0","48"
,Siyazan district ,"47,0","50,0","50,0","48,0","48,0","48,0","48,0",-,-,-,-,-,-,-,-,-,"48,0",-
,Shabran district ,"48,2","41,8","48,0","54,4","48,0","47,9","47,5","48,3","47,7","47,7","48,0","48,3","48,1","48","48","48","48,0","38.9"
,Lankaran-Astara economic region  ,"47,8","45,5","42,5","48,1","47,9","48,7","48,0","48,1","48,6","48,2","48,5","47,6","38,5","28,9","30,4","29,7","29,1","26,0"
,Astara district ,"48,2","41,5","48,0","48,2","48,0","48,0","47,4","48,0","48,1","47,3","47,2","43,1","27,6","22.7","23","23.2","22,8","20.6"
,Jalilabad district ,"46,7","47,5",-,"48,0","48,0","48,0","48,0","47,5","44,4",-,-,-,"18,4","86",-,-,-,-
,Lerik district ,"45,8","54,1","48,0","46,8","48,0","48,0","48,0","48,8","47,6","47,6","47,9","48,9","47,6","48","58.4","44.9","18,6","11.7"
,Lankaran district ,"48,2","42,8","48,0","47,9","47,7","47,9","48,2","48,4","48,5","48,6","49,2","49,2","49,4","49.3","49.3","49.2","49,2","3.3"
,Masalli district ,"47,9","48,0","48,0","48,0","48,0","48,0","48,7",-,-,-,-,-,-,-,-,-,-,"48"
,Yardimli district ,"48,0","65,2","48,0","49,6","48,0","51,7","48,0","47,4","49,4","47,9","48,0","48,0","48,0","41.9","48","48","48,0","48"
,Central Aran economic region,"46.7","48,5","48,3","49,5","48,2","47,9","48,0","48","48.1","48","48.1","48.5","48.1","48.1","48.4","48.1","48,3","47.7"
,Mingachevir city,-,-,"48,0","48,0","49,2","48,0",-,"48,0","48,3","48,1","48,1","95,9","39,4","45.8","47","48.4","45,2","48"
,Agdash district ,"47,6","47,9","48,0","48,0","48,0","46,9","48,0","48,0","48,0","48,0","48,0","48,0","48,0","48","48","48","48,0","48"
,Goychay district ,"49,8","48,1","48,0","56,6","48,0","48,0","48,2","47,8","48,2","47,1","48,0","48,0","40,1","40.2","47.4","47.1","47,4","47.6"
,Kurdamir district ,"49,0","50,0","48,0","48,1","48,0","48,2","48,2","48,1","48,1","48,1","48,1","48,7","48,4","48.5","48.4","48.4","48,4","48.4"
,Ujar district ,"32,5","46,8","48,0","48,0","48,0",-,-,-,-,-,-,-,-,-,-,-,-,-
,Yevlakh district,"51,1","48,2","50,1","50,1","47,9","48,0","47,8","48,0","48,4","48,4","51,0","51,4","51,4","49.1","59","50.6","54,9","35.4"
,Zardab district,"50,0","50,0","48,0","48,0","48,0","48,0","48,0","47,8","48,3","48,2","48,1","48,1","47,8","34.5","34.5","34.5","34,5","34.5"
,Mil-Mughan economic region,"48.5","44,1","47,6","47,6","48,0","48","48","48.1","48.2","52.5","48.6","47","33.3","33.9","34.9","33.1","40,7","40.5"
,Beylagan district ,"47,6","48,2","48,0","48,0","48,0","48,0","48,0","48,0","48,1","48,0","47,9","47,9","19,3","45.4","66.3",-,-,-
,Imishli district ,"46,4","32,2","46,4","46,4","47,9","47,9","47,9","47,9","48,0","56,7","48,7","49,0","49,0","49.2","50.6","49.8","45,6","45.6"
,Saatli district ,"50,0","47,9","48,0","48,0","48,0","48,0","48,0","48,9","48,7","48,6","49,0","48,2","48,2","48.2","48","48","48,0","48"
,Sabirabad district ,"50,0","48,0","48,1","48,1","48,1","48,1","47,9","48,0","48,0","48,0","48,1","41,5","6,9","7.1","6.8","7.9","11,2","21.1"
