region,region_type,year,cost_price_per_centner_milk_enterprises_manat,cost_price_per_centner_milk_private_manat,cows_dairy_buffaloes_stock_heads,cows_heads,fodder_sown_area_ha,labour_hours_per_centner_milk_enterprises,milk_production_tons,profitability_milk_enterprises_pct,profitability_milk_private_pct,selling_price_per_centner_milk_enterprises_manat,selling_price_per_centner_milk_private_manat
Julfa district,district,2024,,,3412.0,3394.0,1465.0,,7324.0,,,,
Kalbajar district,district,2000,,,3754.0,3592.0,,,3273.0,,,,
Kalbajar district,district,2001,,,4176.0,3928.0,33.0,,3819.0,,,,
Kalbajar district,district,2002,,,5497.0,5199.0,33.0,,4778.0,,,,
Kalbajar district,district,2003,,,6099.0,5800.0,61.0,,4287.0,,,,
Kalbajar district,district,2004,,,6627.0,6334.0,38.0,,4539.0,,,,
Kalbajar district,district,2005,,28.57,7121.0,6841.0,52.0,,5264.0,,37.0,,39.15
Kalbajar district,district,2006,,,8583.0,8217.0,70.0,,5778.0,,,,
Kalbajar district,district,2007,,,10064.0,9659.0,178.0,,6771.0,,,,
Kalbajar district,district,2008,,47.17,11165.0,10750.0,197.0,,8010.0,,16.5,,54.95
Kalbajar district,district,2009,,25.27,11922.0,11444.0,499.0,48.0,8837.0,,2.9,,36.0
Kalbajar district,district,2010,,27.87,11973.0,11589.0,357.0,,14051.0,,26.1,,31.9
Kalbajar district,district,2011,,45.21,12123.0,11753.0,325.0,,15010.0,,2.5,,56.5
Kalbajar district,district,2012,,34.89,12947.0,12472.0,319.0,,15763.0,,12.6,,45.1
Kalbajar district,district,2013,,18.12,13197.0,12675.0,329.0,,17053.0,,107.6,,48.0
Kalbajar district,district,2014,,39.09,13201.0,12712.0,319.0,,17223.0,,41.9,,52.0
Kalbajar district,district,2015,,32.28,13089.0,12629.0,380.0,,17396.0,,43.8,,51.78
Kalbajar district,district,2016,,35.47,12575.0,12164.0,256.0,,17493.0,,44.7,,52.33
Kalbajar district,district,2017,,30.41,12469.0,12101.0,146.0,,16936.0,,61.4,,58.1
Kalbajar district,district,2018,,36.03,12379.0,11999.0,151.0,,17111.0,,94.4,,70.0
Kalbajar district,district,2019,,39.88,12417.0,11958.0,159.0,,17210.0,,40.0,,70.0
Kalbajar district,district,2020,,50.0,12521.0,12294.0,171.0,,17348.0,,,,
Kalbajar district,district,2021,,,16724.0,16401.0,116.2,,18522.0,,,,
Kalbajar district,district,2022,,,18879.0,18563.0,90.0,,20174.0,,,,
Kalbajar district,district,2023,,,18442.0,18218.0,66.0,,23237.0,,,,
Kalbajar district,district,2024,,,16083.0,15843.0,83.0,,22714.0,,,,
Kangarli district,district,2003,,,4869.0,4869.0,,,5463.0,,,,
Kangarli district,district,2004,,,4874.0,4874.0,2494.0,,6960.0,,,,
Kangarli district,district,2005,,,5031.0,5031.0,2313.0,,7155.0,,,,
Kangarli district,district,2006,,,5404.0,5404.0,2319.0,,7486.0,,,,
Kangarli district,district,2007,,,5454.0,5454.0,2423.0,,7722.0,,,,
Kangarli district,district,2008,,,5516.0,5516.0,2438.0,,7859.0,,,,
Kangarli district,district,2009,,,5577.0,5577.0,1810.0,,8052.0,,,,
Kangarli district,district,2010,,,5653.0,5653.0,1781.0,,8255.0,,,,
Kangarli district,district,2011,,,5710.0,5710.0,1804.0,,8350.0,,,,
Kangarli district,district,2012,,,5780.0,5780.0,1782.0,,8450.0,,,,
Kangarli district,district,2013,,,5840.0,5840.0,1789.0,,8460.0,,,,
Kangarli district,district,2014,,,5897.0,5897.0,2078.0,,8475.0,,,,
Kangarli district,district,2015,,,5974.0,5974.0,2155.0,,8564.0,,,,
Kangarli district,district,2016,,,6035.0,6035.0,3020.0,,8674.0,,,,
Kangarli district,district,2017,,,6110.0,6110.0,2486.0,,8798.0,,,,
Kangarli district,district,2018,,,6182.0,6182.0,2660.0,,8915.0,,,,
Kangarli district,district,2019,,,6257.0,6257.0,2684.0,,9072.0,,,,
Kangarli district,district,2020,,,6334.0,6334.0,2599.0,,9226.0,,,,
Kangarli district,district,2021,,,6423.0,6423.0,2898.0,,9325.0,,,,
Kangarli district,district,2022,,,6498.0,6498.0,2929.0,,9457.0,,,,
Kangarli district,district,2023,,,2187.0,2187.0,3038.0,,6528.0,,,,
Kangarli district,district,2024,,,2774.0,2774.0,2823.0,,6594.0,,,,
Khachmaz district,district,2000,,,22898.0,20616.0,1282.0,,26637.0,,,,
Khachmaz district,district,2001,,,23873.0,21420.0,2211.0,,29490.0,,,,
Khachmaz district,district,2002,,,24718.0,22367.0,2117.0,,30725.0,,,,
Khachmaz district,district,2003,,,25461.0,23256.0,2238.0,,30400.0,,,,
Khachmaz district,district,2004,,,25536.0,23410.0,2737.0,,33048.0,,,,
Khachmaz district,district,2005,17.48,11.24,25772.0,24102.0,2978.0,47.9,34270.0,7.0,78.0,18.07,20.0
