region,region_type,year,cost_price_per_centner_milk_enterprises_manat,cost_price_per_centner_milk_private_manat,cows_dairy_buffaloes_stock_heads,cows_heads,fodder_sown_area_ha,labour_hours_per_centner_milk_enterprises,milk_production_tons,profitability_milk_enterprises_pct,profitability_milk_private_pct,selling_price_per_centner_milk_enterprises_manat,selling_price_per_centner_milk_private_manat
Absheron district,district,2000,,,9021.0,9021.0,949.0,,11086.0,,,,
Absheron district,district,2001,,,9258.0,9258.0,901.0,,12714.0,,,,
Absheron district,district,2002,,,9694.0,9694.0,832.0,,14625.0,,,,
Absheron district,district,2003,,,9922.0,9922.0,1151.0,,19424.0,,,,
Absheron district,district,2004,,,10106.0,10106.0,1317.0,,20448.0,,,,
Absheron district,district,2005,18.8,12.66,10120.0,10120.0,1128.0,47.9,25201.0,6.6,16.5,31.57,26.0
Absheron district,district,2006,,,10132.0,10132.0,1003.0,,29714.0,,,,
Absheron district,district,2007,,,10324.0,10324.0,731.0,,30241.0,,,,
Absheron district,district,2008,19.34,10.2,10481.0,10481.0,796.0,48.1,30846.0,11.0,9.7,43.6,40.0
Absheron district,district,2009,20.23,10.21,10535.0,10535.0,521.0,48.0,32280.0,32.7,6.8,39.29,38.12
Absheron district,district,2010,8.35,10.41,11740.0,11740.0,522.0,48.0,32931.0,7.7,9.3,37.1,40.2
Absheron district,district,2011,35.73,20.13,11972.0,11972.0,338.0,48.0,40807.0,7.6,9.5,49.3,39.2
Absheron district,district,2012,38.0,20.12,12201.0,12201.0,351.0,48.0,40800.0,18.5,9.4,53.64,39.2
Absheron district,district,2013,49.57,20.13,12133.0,12133.0,382.0,48.0,40955.0,2.6,9.5,58.1,39.2
Absheron district,district,2014,46.46,20.75,12153.0,12153.0,463.0,48.0,40637.0,,9.5,59.3,39.21
Absheron district,district,2015,46.92,20.65,13398.0,13398.0,101.0,48.0,42861.0,4.7,9.5,57.27,39.23
Absheron district,district,2016,29.51,20.64,13461.0,13461.0,114.0,30.0,49389.0,1.1,9.5,42.47,39.21
Absheron district,district,2017,26.89,21.69,13357.0,13357.0,247.0,31.3,48986.0,0.5,9.4,63.55,39.15
Absheron district,district,2018,25.82,20.92,13149.0,13149.0,167.0,30.7,52426.0,0.9,9.5,65.81,39.1
Absheron district,district,2019,18.49,23.46,13184.0,13184.0,135.0,30.1,49501.0,11.5,9.7,43.93,40.0
Absheron district,district,2020,20.18,45.35,13155.0,13155.0,187.3,26.2,49719.0,4.9,9.8,56.72,40.04
Absheron district,district,2021,89.04,40.94,13151.0,13151.0,298.3,21.1,50370.0,6.8,10.2,74.77,48.35
Absheron district,district,2022,76.13,43.36,14030.0,14030.0,159.8,17.1,51186.0,29.5,8.6,89.58,49.02
Absheron district,district,2023,84.9,43.36,11296.0,11296.0,179.1,20.5,54440.0,49.6,8.6,50.32,49.02
Absheron district,district,2024,53.37,43.36,11486.0,11486.0,165.1,11.4,41695.0,57.9,8.6,31.78,49.46
Agdash district,district,2000,,,17338.0,11480.0,8419.0,,18468.0,,,,
Agdash district,district,2001,,,17649.0,11673.0,10592.0,,17781.0,,,,
Agdash district,district,2002,,,20492.0,13498.0,11444.0,,19566.0,,,,
Agdash district,district,2003,,,21592.0,14165.0,11886.0,,20478.0,,,,
Agdash district,district,2004,,,28257.0,18022.0,12227.0,,23834.0,,,,
Agdash district,district,2005,19.2,15.06,29979.0,19123.0,11802.0,47.6,26912.0,46.0,56.9,27.73,26.67
Agdash district,district,2006,,,31295.0,19929.0,12424.0,,28235.0,,,,
Agdash district,district,2007,,,32821.0,20800.0,8916.0,,29335.0,,,,
Agdash district,district,2008,12.07,12.81,33746.0,22492.0,11035.0,47.9,30285.0,113.6,130.0,25.87,30.0
Agdash district,district,2009,12.02,10.71,34312.0,22828.0,12690.0,48.0,32417.0,80.0,88.9,19.23,28.33
Agdash district,district,2010,15.72,24.56,34629.0,23056.0,13728.0,48.0,33297.0,115.0,16.7,34.4,29.2
Agdash district,district,2011,22.91,25.0,35179.0,23541.0,12718.0,48.0,34323.0,51.5,25.0,35.1,29.4
Agdash district,district,2012,20.47,25.0,35727.0,23937.0,12398.0,46.9,38208.0,71.6,12.5,34.98,30.0
Agdash district,district,2013,19.8,,36340.0,24528.0,11534.0,48.0,39789.0,76.2,,35.0,
Agdash district,district,2014,20.99,,36886.0,24755.0,12872.0,48.0,42691.0,67.9,,35.24,
Agdash district,district,2015,21.0,,37077.0,24864.0,12301.0,48.0,43761.0,,,,
Agdash district,district,2016,18.03,,35733.0,24275.0,8808.0,48.0,55998.0,94.1,,35.0,
Agdash district,district,2017,64.91,,34334.0,23862.0,7742.0,48.0,53344.0,,,63.47,
Agdash district,district,2018,61.99,,31727.0,22314.0,7235.0,48.0,52656.0,,,45.0,
Agdash district,district,2019,96.94,,32134.0,23285.0,8997.0,48.0,58027.0,,,80.0,
Agdash district,district,2020,30.0,,32509.0,24291.0,9449.0,48.0,59319.0,83.63,,55.0,
Agdash district,district,2021,31.0,,31997.0,24476.0,9931.0,48.0,60772.0,93.5,,60.0,
Agdash district,district,2022,55.0,,32866.0,26116.0,10572.0,48.0,63608.0,,,65.0,
Agdash district,district,2023,75.41,,31196.0,24920.0,10346.5,48.0,61865.0,,,76.31,
Agdash district,district,2024,60.59,,29982.0,23996.0,10109.8,48.0,59824.0,15.8,,72.52,
Aghdam district,district,2000,,,10977.0,10263.0,560.0,,10994.0,,,,
Aghdam district,district,2001,,,11231.0,10689.0,931.0,,12267.0,,,,
Aghdam district,district,2002,,,12629.0,11898.0,2038.0,,12562.0,,,,
Aghdam district,district,2003,,,13077.0,12481.0,3043.0,,16141.0,,,,
Aghdam district,district,2004,,,13533.0,12937.0,3281.0,,20258.0,,,,
Aghdam district,district,2005,,,13991.0,13499.0,3795.0,,21941.0,,,,
Aghdam district,district,2006,,,14240.0,13810.0,4943.0,,22930.0,,,,
Aghdam district,district,2007,,,14292.0,13865.0,6369.0,,23189.0,,,,
Aghdam district,district,2008,18.07,,14347.0,13901.0,6447.0,48.2,25649.0,22.2,,22.0,
Aghdam district,district,2009,18.76,,14856.0,14515.0,6813.0,48.0,26726.0,44.7,,27.23,
Aghdam district,district,2010,15.27,,14930.0,14528.0,7325.0,48.0,26856.0,29.4,,20.0,
Aghdam district,district,2011,,,15200.0,14904.0,8069.0,,27100.0,,,,
Aghdam district,district,2012,31.3,,16850.0,16527.0,7645.0,,27605.0,,,,
Aghdam district,district,2013,35.0,,17757.0,17389.0,8287.0,47.9,31362.0,28.6,,45.0,
Aghdam district,district,2014,37.0,,18135.0,17879.0,8742.0,48.0,32576.0,21.6,,45.0,
Aghdam district,district,2015,37.03,,18400.0,18295.0,8882.0,47.0,33312.0,28.6,,45.0,
Aghdam district,district,2016,44.55,,18691.0,18596.0,8314.0,59.1,34168.0,22.2,,55.0,
Aghdam district,district,2017,50.13,,18844.0,18751.0,7561.0,58.5,34612.0,22.3,,55.0,
Aghdam district,district,2018,72.78,,19147.0,19059.0,8185.0,8.6,35866.0,22.9,,60.06,
Aghdam district,district,2019,37.15,,19165.0,19079.0,8409.0,8.4,37873.0,71.7,,60.6,
Aghdam district,district,2020,12.13,,19577.0,19484.0,10002.2,2.1,38843.0,31.5,,65.16,
Aghdam district,district,2021,6.31,,20124.0,20028.0,10440.1,3.4,40211.0,19.4,,47.76,
